run,seed,num_camps,num_aid_types,binary_variables,continuous_variables,max_aid_types_per_camp_L,max_camps_per_aid_type_C,activation_budget_ratio,gurobi_status,gurobi_objective,gurobi_runtime_sec,gurobi_active_pairs,ga_objective,ga_runtime_sec,ga_active_pairs,gap_percent
1,101,50,10,500,2000,3,20,0.25,OPTIMAL,100168844.58397666,0.34726405143737793,150,109971855.83305018,13.76939058303833,150,9.78648729531382
2,102,50,15,750,3000,4,25,0.3,OPTIMAL,154207239.18381903,0.1018986701965332,200,180523155.00801113,17.889289617538452,200,17.065292111755436
3,103,75,15,1125,4500,4,30,0.3,OPTIMAL,219909648.65702838,0.2026505470275879,300,264260621.91662943,24.884262323379517,300,20.16781597826612
4,104,100,20,2000,8000,5,40,0.3,OPTIMAL,417975240.77469194,0.4169328212738037,500,517770860.40036345,35.11848044395447,499,23.87596438504499
5,105,100,25,2500,10000,5,45,0.35,OPTIMAL,564354297.5946598,0.646679162979126,500,669672023.0432762,39.68006777763367,500,18.661632576821358
6,106,150,25,3750,15000,6,60,0.35,OPTIMAL,829047390.9538413,0.7317757606506348,900,1032096701.8772116,55.16047239303589,892,24.49188226619428
7,107,150,30,4500,18000,6,65,0.35,OPTIMAL,1087027475.1845498,1.016434907913208,900,1345802825.500208,58.128313064575195,893,23.805778255211496
8,108,200,30,6000,24000,7,70,0.35,OPTIMAL,1276022971.836617,1.5821104049682617,1400,1581580932.8682203,77.24474263191223,1391,23.946117568072058
9,109,200,40,8000,32000,8,80,0.35,OPTIMAL,1780903944.0287664,2.18989634513855,1600,2248060466.6718817,93.26659965515137,1589,26.23142725970455
10,110,250,40,10000,40000,8,90,0.4,OPTIMAL,2382222113.4806614,2.7975244522094727,2000,2893178546.15812,108.50873374938965,1990,21.448731828406252
